Date,AAPL,MSFT
2020-01-01,74.83560180664062,162.1988983154297
2020-02-01,66.09500122070312,154.36666870117188
2020-03-01,61.630027770996094,150.6800537109375
2020-04-01,71.20572662353516,171.2216796875
2020-05-01,77.0562973022461,175.0815887451172
2020-06-01,88.65269470214844,194.97999572753906
2020-07-01,103.29205322265625,196.41709899902344
2020-08-01,125.4358139038086,216.07705688476562
2020-09-01,112.77828216552734,202.0012969970703
2020-10-01,106.01024627685547,194.4525146484375
2020-11-01,115.93348693847656,205.5931854248047
2020-12-01,129.4393310546875,214.1717987060547
2021-01-01,128.7272491455078,223.35801696777344
2021-02-01,118.28934478759766,223.76242065429688
2021-03-01,119.33560943603516,227.54959106445312
2021-04-01,128.43109130859375,243.38743591308594
2021-05-01,121.7389144897461,240.974609375
2021-06-01,134.0316619873047,262.0584411621094
2021-07-01,142.74136352539062,275.6112365722656
2021-08-01,148.58372497558594,292.0273132324219
2021-09-01,138.68203735351562,273.2409362792969
2021-10-01,146.81675720214844,321.4107971191406
2021-11-01,162.00807189941406,320.4125671386719
2021-12-01,174.28770446777344,326.56256103515625
2022-01-01,171.54930114746094,301.9576721191406
2022-02-01,162.0678253173828,290.121337890625
2022-03-01,171.60079956054688,299.984130859375
2022-04-01,154.9330596923828,270.0256042480469
2022-05-01,146.27488708496094,264.5281982421875
2022-06-01,134.56117248535156,250.47637939453125
2022-07-01,159.94395446777344,273.7948913574219
2022-08-01,154.73751831054688,255.0015869140625
2022-09-01,136.20677185058594,227.62046813964844
2022-10-01,151.12841796875,226.86795043945312
2022-11-01,145.89495849609375,249.35638427734375
2022-12-01,128.26844787597656,235.04417419433594
2023-01-01,142.44483947753906,242.8750457763672
2023-02-01,145.52491760253906,244.4529571533203
2023-03-01,163.03982543945312,283.2663879394531
2023-04-01,167.76589965820312,301.89544677734375
2023-05-01,175.2505340576172,322.6565246582031
2023-06-01,192.0471954345703,335.32586669921875
2023-07-01,194.50259399414062,330.77655029296875
2023-08-01,186.0076446533203,322.74151611328125
2023-09-01,169.74168395996094,311.5736999511719
2023-10-01,169.30548095703125,333.6379089355469
2023-11-01,188.32098388671875,373.8982849121094
2023-12-01,191.13031005859375,371.8193359375
